filename,word_count,char_count,model,observer_model,performer_model,perplexity,cross_perplexity,binoculars_score,threshold,classification,ai_probability
AIWritten_Sample2_ChinaAdvancementInRecentYears.txt,1045,7427,small,gpt2,gpt2-medium,3.0312,4.0000,0.7578,0.8536,Most likely AI-generated,0.8081
AIWritten_Sample5_ChinaAdvancementInRecentYears_WDuplicate.txt,1182,8402,small,gpt2,gpt2-medium,3.0312,4.0000,0.7578,0.8536,Most likely AI-generated,0.8081
AIWritten_sample4_WilliamFaulkner_NobelCommittee.txt,428,2692,small,gpt2,gpt2-medium,2.6406,4.0312,0.6550,0.8536,Most likely AI-generated,0.9516
HumanWritten_Sample1_ParisTravelIntro.txt,799,4369,small,gpt2,gpt2-medium,3.3281,4.6875,0.7100,0.8536,Most likely AI-generated,0.8961
Humanwritten_sample3_WilliamFaulkner_NobelCommittee.txt,439,2542,small,gpt2,gpt2-medium,3.0469,4.3125,0.7065,0.8536,Most likely AI-generated,0.9009
